,Latitude,Longitude,Value,Bathy,Sector
166,35.770195385793734,-59.3,88.56937554869927,"[166631, 5108.55615234375]",0.0
167,35.76117244994106,-59.300000000000004,88.57172237770968,"[167635, 5100.93408203125]",0.0
168,35.75214951408838,-59.3,88.57405474183537,"[168639, 5096.3662109375]",0.0
169,35.74312657823571,-59.300000000000004,88.57637345568028,"[169643, 5100.541015625]",0.0
170,35.73410364238303,-59.3,88.57867692601013,"[170647, 5108.2314453125]",0.0
171,35.725080706530356,-59.300000000000004,88.58096486173886,"[171650, 5118.9912109375]",0.0
172,35.71605777067768,-59.3,88.58323873224154,"[172654, 5122.02880859375]",0.0
173,35.707034834825016,-59.300000000000004,88.58549735157442,"[173658, 5118.31396484375]",0.0
174,35.69801189897233,-59.3,88.58774060131418,"[174662, 5096.7158203125]",0.0
175,35.68898896311966,-59.3,88.58996924329563,"[175666, 5094.666015625]",0.0
176,35.679966027266985,-59.3,88.59218203250296,"[176669, 5077.12548828125]",0.0
177,35.670943091414316,-59.3,88.59437895930267,"[177673, 5044.80908203125]",0.0
178,35.66192015556164,-59.3,88.59656211324886,"[178677, 5025.33056640625]",0.0
179,35.65289721970897,-59.3,88.59872687216492,"[179681, 5005.75439453125]",0.0
180,35.64387428385629,-59.3,88.60087829015151,"[180685, 5000.81787109375]",0.0
181,35.634851348003615,-59.3,88.6030130511582,"[181688, 5016.259765625]",0.0
182,35.625828412150945,-59.3,88.60513060009328,"[182692, 5057.60009765625]",0.0
183,35.61680547629827,-59.3,88.60723263373751,"[183696, 5069.40869140625]",0.0
184,35.60778254044559,-59.3,88.60931878544608,"[184700, 5035.9033203125]",0.0
185,35.598759604592914,-59.3,88.61138815051507,"[185704, 5017.62939453125]",0.0
186,35.589736668740244,-59.3,88.61344159131968,"[186708, 5003.5751953125]",0.0
187,35.58071373288757,-59.3,88.61547751938116,"[187711, 4994.12451171875]",0.0
188,35.57169079703489,-59.3,88.61749683276176,"[188715, 4989.591796875]",0.0
189,35.56266786118222,-59.3,88.619499226394,"[189719, 4988.7255859375]",0.0
190,35.55364492532954,-59.3,88.62148516516618,"[190723, 4993.3564453125]",0.0
191,35.54462198947687,-59.3,88.62345314256822,"[191727, 4998.54736328125]",0.0
192,35.535599053624196,-59.3,88.62540384241126,"[192730, 5005.166015625]",0.0
193,35.526576117771526,-59.3,88.62733742155302,"[193734, 4998.318359375]",0.0
194,35.51755318191884,-59.3,88.62925360929063,"[194738, 4989.71923828125]",0.0
195,35.50853024606617,-59.3,88.63115145795666,"[195742, 4981.7529296875]",0.0
196,35.499507310213495,-59.3,88.63303090262451,"[196746, 4956.228515625]",0.0
197,35.490484374360825,-59.3,88.63489402773519,"[197749, 4959.3623046875]",0.0
198,35.48146143850815,-59.3,88.6367384243525,"[198753, 4963.86181640625]",0.0
199,35.47243850265548,-59.3,88.63856403350363,"[199757, 4962.06640625]",0.0
200,35.4634155668028,-59.3,88.64037156611278,"[200761, 4964.63525390625]",0.0
201,35.454392630950124,-59.3,88.64216059410398,"[201765, 4970.41650390625]",0.0
202,35.445369695097455,-59.3,88.64393026136503,"[202768, 4979.46240234375]",0.0
203,35.43634675924478,-59.3,88.64568193661148,"[203772, 4983.8173828125]",0.0
204,35.4273238233921,-59.29999999999999,88.64741390205685,"[204776, 4987.4970703125]",0.0
205,35.41830088753943,-59.3,88.64912749533823,"[205780, 4988.81201171875]",0.0
206,35.409277951686754,-59.29999999999999,88.65082142590089,"[206784, 4988.8134765625]",0.0
207,35.40025501583408,-59.3,88.65249562095494,"[207787, 4988.19384765625]",0.0
208,35.3912320799814,-59.29999999999999,88.6541509669585,"[208791, 4986.67333984375]",0.0
209,35.38220914412873,-59.3,88.65578621024727,"[209795, 4985.07568359375]",0.0
210,35.37318620827605,-59.29999999999999,88.65740126484712,"[210799, 4982.9345703125]",0.0
211,35.36416327242338,-59.3,88.6589976878054,"[211803, 4980.89599609375]",0.0
212,35.355140336570706,-59.29999999999999,88.66057242278973,"[212806, 4983.08740234375]",0.0
213,35.346117400718036,-59.3,88.66212803450796,"[213810, 4986.28125]",0.0
214,35.33709446486535,-59.3,88.66366183702058,"[214814, 4994.169921875]",0.0
215,35.32807152901269,-59.300000000000004,88.66517530131927,"[215818, 5000.3681640625]",0.0
216,35.31904859316001,-59.3,88.66666757350467,"[216822, 5006.18017578125]",0.0
217,35.310025657307335,-59.3,88.6681392630033,"[217826, 5009.87451171875]",0.0
218,35.30100272145466,-59.3,88.66959082151814,"[218829, 5012.90478515625]",0.0
219,35.29197978560199,-59.3,88.67101921349499,"[219833, 5014.224609375]",0.0
220,35.28295684974931,-59.3,88.67242692343808,"[220837, 5010.90283203125]",0.0
221,35.273933913896634,-59.3,88.67381499981511,"[221841, 5005.27294921875]",0.0
222,35.264910978043964,-59.3,88.67517878889728,"[222845, 4996.51904296875]",0.0
223,35.25588804219129,-59.3,88.67652113600582,"[223848, 4983.37548828125]",0.0
224,35.24686510633861,-59.3,88.67784121602432,"[224852, 4969.21533203125]",0.0
225,35.23784217048594,-59.3,88.67913963508724,"[225856, 4955.3427734375]",0.0
226,35.228819234633264,-59.3,88.6804144101699,"[226860, 4937.86328125]",0.0
227,35.21979629878059,-59.3,88.68166769819209,"[227864, 4932.08203125]",0.0
228,35.21077336292791,-59.3,88.68289756615872,"[228867, 4939.9931640625]",0.0
229,35.20175042707524,-59.3,88.68410419226612,"[229871, 4957.1669921875]",0.0
230,35.19272749122256,-59.3,88.68528782053775,"[230875, 4938.47412109375]",0.0
231,35.18370455536989,-59.3,88.68644807702745,"[231879, 4886.048828125]",0.0
232,35.174681619517216,-59.3,88.68758557993434,"[232883, 4887.48681640625]",0.0
233,35.165658683664546,-59.3,88.68869764430025,"[233886, 4874.220703125]",0.0
234,35.15663574781187,-59.300000000000004,88.6897858190876,"[234890, 4856.07666015625]",0.0
235,35.1476128119592,-59.3,88.69085131044167,"[235894, 4851.49169921875]",0.0
236,35.13858987610652,-59.3,88.69189210859918,"[236898, 4839.6015625]",0.0
237,35.129566940253845,-59.3,88.69290818706861,"[237902, 4841.97705078125]",0.0
238,35.12054400440117,-59.3,88.69389954651655,"[238905, 4843.03369140625]",0.0
239,35.1115210685485,-59.3,88.69486531490696,"[239909, 4838.73681640625]",0.0
240,35.10249813269582,-59.3,88.6958063984741,"[240913, 4832.93310546875]",0.0
241,35.093475196843144,-59.3,88.69672249571872,"[241917, 4824.205078125]",0.0
242,35.084452260990474,-59.3,88.69761263260776,"[242921, 4838.1279296875]",0.0
243,35.0754293251378,-59.3,88.69847707785908,"[243925, 4822.4697265625]",0.0
244,35.06640638928512,-59.29999999999999,88.69931553151307,"[244928, 4853.8212890625]",0.0
245,35.05738345343245,-59.3,88.70012862079687,"[245932, 4852.154296875]",0.0
246,35.04836051757978,-59.3,88.70091464733608,"[246936, 4845.01171875]",0.0
247,35.0393375817271,-59.3,88.70167410401874,"[247940, 4843.69775390625]",0.0
248,35.03031464587443,-59.29999999999999,88.70240675306204,"[248944, 4840.099609375]",0.0
249,35.02129171002176,-59.3,88.70311254765812,"[249947, 4833.5390625]",0.0
250,35.01226877416908,-59.3,88.70379174548071,"[250951, 4819.53271484375]",0.0
251,35.0032458383164,-59.3,88.70444214072634,"[251955, 4808.80419921875]",0.0
252,34.994222902463726,-59.29999999999999,88.70506558242298,"[252959, 4798.0029296875]",0.0
253,34.985199966611056,-59.3,88.70566134336914,"[253963, 4787.29150390625]",0.0
254,34.97617703075838,-59.3,88.70622890462852,"[254966, 4777.29052734375]",0.0
255,34.96715409490571,-59.3,88.7067679334067,"[255970, 4768.2724609375]",0.0
